run_id,customer_seed,ledger_seed,handle,hold,net_margin,promo_rate,sharp_still_active_7d,sharp_still_active_30d,sharp_still_active_60d,sharp_still_active_90d,regular_still_active_7d,regular_still_active_30d,regular_still_active_60d,regular_still_active_90d,casual_still_active_7d,casual_still_active_30d,casual_still_active_60d,casual_still_active_90d,promo_hunter_still_active_7d,promo_hunter_still_active_30d,promo_hunter_still_active_60d,promo_hunter_still_active_90d
1,100,500,2678746.344300356,0.06888226292240814,0.04007035513272959,0.0009186597255058001,0.7919463087248322,0.6040268456375839,0.40939597315436244,0.2080536912751678,0.3446969696969697,0.20833333333333334,0.06060606060606061,0.03409090909090909,0.1571072319201995,0.022443890274314215,0.0,0.0,0.16279069767441862,0.0,0.0,0.0
2,101,501,2544702.5994695555,0.07065371971224796,0.04170876010676087,0.0009491286886938981,0.7615384615384615,0.6461538461538462,0.4307692307692308,0.27692307692307694,0.33098591549295775,0.1795774647887324,0.06338028169014084,0.03873239436619718,0.20759493670886076,0.0379746835443038,0.005063291139240506,0.0,0.07692307692307693,0.0,0.0,0.0
3,102,502,3208323.8256178014,0.03926256479838252,0.010681934510157826,0.0008036320859247966,0.7986577181208053,0.6241610738255033,0.40268456375838924,0.30201342281879195,0.36917562724014336,0.1827956989247312,0.08243727598566308,0.025089605734767026,0.14594594594594595,0.04864864864864865,0.0,0.0,0.12745098039215685,0.029411764705882353,0.0,0.0
4,103,503,2988438.7629318703,0.08048496356358012,0.051522077026479825,0.000938050164785991,0.7708333333333334,0.6666666666666666,0.4722222222222222,0.24305555555555555,0.3531468531468531,0.20279720279720279,0.08391608391608392,0.024475524475524476,0.16180371352785147,0.04774535809018567,0.0,0.0,0.13978494623655913,0.03225806451612903,0.0,0.0
5,104,504,3219492.106245734,0.05451817711229932,0.02573264735323343,0.000806544607642316,0.7516339869281046,0.6535947712418301,0.45098039215686275,0.3006535947712418,0.29850746268656714,0.19776119402985073,0.09328358208955224,0.011194029850746268,0.155,0.0325,0.005,0.0,0.06329113924050633,0.02531645569620253,0.0,0.0
6,105,505,2414520.386341134,0.06483123429484518,0.03585774119857915,0.001042849579690854,0.7692307692307693,0.6230769230769231,0.4153846153846154,0.2230769230769231,0.3333333333333333,0.21305841924398625,0.06872852233676977,0.01718213058419244,0.18298969072164947,0.028350515463917526,0.0,0.0,0.13186813186813187,0.0,0.0,0.0
7,106,506,2608786.7832880816,0.05977070319917568,0.03080184522481848,0.001030758536768144,0.7933884297520661,0.6859504132231405,0.4793388429752066,0.2644628099173554,0.4227941176470588,0.22794117647058823,0.07352941176470588,0.022058823529411766,0.16097560975609757,0.03170731707317073,0.004878048780487805,0.0,0.08247422680412371,0.030927835051546393,0.0,0.0
8,107,507,2577102.185125308,0.06893298370367013,0.03982774593308213,0.0010032223279012654,0.7905405405405406,0.6283783783783784,0.4189189189189189,0.2972972972972973,0.34765625,0.22265625,0.08203125,0.0390625,0.13513513513513514,0.03194103194103194,0.0,0.0,0.10112359550561797,0.011235955056179775,0.0,0.0
9,108,508,2474844.1628548703,0.0732142270489728,0.0442316127672762,0.0008882758940783609,0.7883211678832117,0.6423357664233577,0.48905109489051096,0.25547445255474455,0.37404580152671757,0.17938931297709923,0.03816793893129771,0.030534351145038167,0.20823244552058112,0.043583535108958835,0.002421307506053269,0.0,0.11363636363636363,0.011363636363636364,0.0,0.0
10,109,509,3217900.3043008484,0.05121452075661149,0.02253193616587123,0.0007686899883639008,0.7615894039735099,0.7019867549668874,0.4966887417218543,0.2582781456953642,0.3709677419354839,0.14516129032258066,0.04838709677419355,0.004032258064516129,0.16428571428571428,0.030952380952380953,0.0,0.0,0.06172839506172839,0.0,0.0,0.0
11,110,510,2387252.3637969755,0.06563278967189395,0.036504062704558325,0.0011029400703288109,0.7605633802816901,0.5704225352112676,0.3732394366197183,0.14788732394366197,0.3463035019455253,0.20622568093385213,0.08949416342412451,0.03501945525291829,0.15521628498727735,0.035623409669211195,0.005089058524173028,0.0,0.1388888888888889,0.027777777777777776,0.0,0.0
12,111,511,2745103.6159490813,0.059539956227720466,0.03087283559550707,0.0008749337616686203,0.7209302325581395,0.6434108527131783,0.4263565891472868,0.3023255813953488,0.3595505617977528,0.2209737827715356,0.0449438202247191,0.0149812734082397,0.15384615384615385,0.05048076923076923,0.0,0.0,0.14772727272727273,0.03409090909090909,0.0,0.0
